SITE	LATITUDE	LONGITUDE	DATE	HEURE	COEF_MAREE	MAREE	PROF_TEXT	T (Température)	qT	S (Salinité)	qS	O (Oxygène)	qO	PH (pH)	qPH	NH4 (Ammonium)	qNH4	NO3 (Nitrates)	qNO3	NO2 (Nitrites)	qNO2	PO4 (Phosphates)	qPO4	SIOH4 (Sillicates)	qSIOH4	COP (Carbone Organique Particulaire)	qCOP	NOP (Azote Organique Particulaire)	qNOP	MES (Matière En Suspension)	qMES	CHLA (Chlorophylle-a)	qCHLA	DN15 (Delta N15)	qDN15	DC13 (Delta C13)	qDC13	TBACC (TotBac cells/mL)	qTBACC	TBACSSC (TotBac FL verte/1µm)	qTBACSSC	TBACFLV (TotBac FL verte/1µm)	qTBACFLV	HNABACC (HNABac cells/mL)	qHNABACC	HNABACSSC (HNABac SSC/1µm)	qHNABACSSC	HNABACFLV (HNABac FL verte /1µm)	qHNABACFLV	LNABACC (LNABac cells/mL)	qLNABACC	LNABACSSC (LNABac SSC/1µm)	qLNABACSSC	LNABACFLV (LNABac FL verte/1µm)	qLNABACFLV	CRYC (Cry cell/mL)	qCRYC	CRYSSC (Cry SSC/1µm)	qCRYSSC	CRYFLR (Cry FL rouge/1µm)	qCRYFLR	CRYFLO (Cry FL orange/1µm)	qCRYFLO	SYNC (Syn cell/mL)	qSYNC	SYNSSC (Syn SSC/1µm)	qSYNSSC	SYNFLR (Syn FL rouge/1µm)	qSYNFLR	SYNFLO (Syn FL orange/1µm)	qSYNFLO	PROC (Pro cell/mL)	qPROC	PROSSC (Pro SSC/1µm)	qPROSSC	PROFLR (Pro FL rouge/1µm)	qPROFLR	PICOEC (PicoE cell/mL)	qPICOEC	PICOESSC (PicoE SSC/1µm)	qPICOESSC	PICOEFLR (PicoE FL rouge/1µm)	qPICOEFLR	NANOEC (NanoE cell/mL)	qNANOEC	NANOESSC (NanoE SSC/1µm)	qNANOESSC	NANOEFLR (NanoE FL rouge/1µm)	qNANOEFLR
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-07-12	07:16:21	0	inc	S	26.457	2	38.086	2	5.05	6	7.97	7	0.027	6	0.20	2	0.02	2	0.12	2	1.24	2	131.537	2	20.730	2	9.480	2	0.41	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-07-19	06:59:02	0	inc	S	22.525	2	38.167	2	5.20	6	8.01	7	0.028	6	0.37	2	0.02	2	0.10	2	1.21	2	66.567	2	11.380	2	10.650	2	0.15	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-07-26	07:05:20	0	inc	S	24.158	2	38.243	2	5.01	6	7.99	7	0.036	6	0.31	2	0.01	2	0.07	2	0.99	2	80.747	2	11.920	2	6.700	2	0.20	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-08-02	07:26:00	0	inc	S	25.734	7	38.261	7	4.98	6	7.97	7	0.043	6	0.26	2	0.01	2	0.10	2	1.38	2	117.877	2	19.590	2	8.110	2	0.32	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-08-16	07:26:00	0	inc	S	25.166	7	38.252	7	4.99	6	7.98	7	0.038	6	0.24	2	0.10	2	0.10	2	1.78	2	85.197	2	14.030	2	7.760	2	0.27	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-08-23	07:26:00	0	inc	S	24.959	7	38.370	7	4.96	6	7.98	7	0.062	6	0.42	2	0.03	2	0.06	2	1.12	2	68.027	2	12.240	2	5.140	2	0.15	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-08-31	07:26:00	0	inc	S	24.969	7	38.319	7	5.02	6	7.97	7	0.069	6	0.47	2	0.01	2	0.05	2	1.59	2	65.027	2	10.810	2	3.470	2	0.23	2	999999.000	9	999999.000	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-09-06	08:29:58	0	inc	S	25.581	2	38.328	2	4.88	6	7.97	7	0.029	6	0.35	2	0.03	2	0.06	2	2.32	2	108.947	2	17.980	2	7.190	2	0.30	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-09-13	07:30:34	0	inc	S	24.874	2	38.089	2	5.45	6	8.00	7	0.032	6	0.29	2	0.02	2	0.03	2	0.86	2	67.637	2	11.700	2	3.180	2	0.24	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-09-20	08:45:30	0	inc	S	23.385	2	38.297	2	5.04	6	8.02	7	0.023	6	0.37	2	0.01	2	0.05	2	0.75	2	71.347	2	11.170	2	6.990	2	0.17	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-09-27	09:13:49	0	inc	S	23.428	2	38.216	2	5.13	6	8.04	7	0.026	6	0.29	2	0.02	2	0.03	2	0.79	2	65.147	2	10.990	2	7.390	2	0.17	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-10-04	08:44:25	0	inc	S	22.311	2	38.295	2	5.15	6	8.05	7	0.026	6	0.25	2	0.00	2	0.02	2	0.78	2	60.807	2	10.630	2	6.550	2	0.16	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-10-11	08:18:29	0	inc	S	21.838	2	38.299	2	5.14	6	8.06	7	0.032	6	0.37	2	0.02	2	0.03	2	0.90	2	45.997	2	9.200	2	7.050	2	0.20	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-10-18	09:04:48	0	inc	S	20.828	2	38.269	2	5.14	6	8.04	7	0.001	4	0.30	2	0.01	2	0.02	2	0.66	2	65.657	2	10.990	2	10.520	2	0.24	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-10-26	09:04:39	0	inc	S	20.270	2	38.240	2	5.16	6	8.06	7	0.057	6	0.14	2	0.03	2	0.09	2	1.24	2	67.517	2	12.780	2	11.910	2	0.28	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-11-02	10:09:14	0	inc	S	19.804	2	38.222	2	5.32	6	8.08	7	0.055	6	0.18	2	0.01	2	0.11	2	1.18	2	50.017	2	9.910	2	3.530	2	0.36	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-11-08	09:55:17	0	inc	S	18.347	2	38.166	2	5.36	6	8.07	7	0.106	6	0.36	2	0.09	2	0.07	2	1.12	2	69.423	2	12.433	3	10.090	2	0.32	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-11-15	10:03:01	0	inc	S	18.307	2	38.203	2	5.33	6	8.10	7	0.039	6	0.23	2	0.05	2	0.08	2	1.25	2	59.043	2	999999.000	4	3.830	2	0.34	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-11-22	09:51:18	0	inc	S	17.412	2	38.069	2	5.40	6	8.09	7	0.163	6	0.58	2	0.07	2	0.08	2	1.23	2	84.403	2	16.733	2	9.590	2	0.58	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-11-30	09:44:35	0	inc	S	17.270	2	38.087	2	5.42	6	8.10	7	0.173	6	0.44	2	0.07	2	0.05	2	1.41	2	52.283	2	7.593	2	8.440	2	0.22	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-12-06	10:18:00	0	inc	S	17.015	2	38.163	2	5.37	6	8.10	7	0.098	6	0.25	2	0.06	2	0.05	2	1.14	2	999999.000	4	999999.000	4	8.670	2	0.27	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-12-13	10:06:04	0	inc	S	16.650	2	38.178	2	5.48	6	8.11	7	0.078	6	0.17	2	0.07	2	0.04	2	1.14	2	63.503	2	7.943	2	5.400	2	0.26	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-12-21	10:38:26	0	inc	S	16.244	2	38.196	2	5.51	6	8.11	7	0.124	6	0.35	2	0.07	2	0.04	2	0.73	2	41.323	2	7.053	2	6.120	2	0.31	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-01-03	09:53:47	0	inc	S	15.674	2	38.124	2	5.58	6	999999.00	5	0.070	6	0.28	2	0.11	2	0.04	2	0.82	2	44.763	2	5.793	2	2.740	2	0.32	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-01-10	07:33:15	0	inc	S	15.294	2	38.155	2	5.60	6	999999.00	5	0.017	6	0.42	2	0.14	2	0.03	2	0.69	2	34.633	2	6.153	2	9.080	2	0.32	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-01-17	07:48:48	0	inc	S	14.661	2	38.170	2	5.50	6	999999.00	5	0.186	6	0.69	2	0.15	2	0.09	2	0.92	2	45.093	2	6.713	2	7.600	2	0.48	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-01-24	08:11:05	0	inc	S	14.138	2	38.199	2	5.61	6	999999.00	5	0.333	3	1.06	2	0.14	2	0.04	2	1.22	2	29.743	2	4.913	2	7.410	2	0.24	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-01-31	08:11:46	0	inc	S	13.917	2	38.203	2	5.64	6	999999.00	5	0.010	6	1.31	2	0.16	2	0.03	2	1.21	2	44.393	2	6.893	2	999999.000	1	0.29	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-02-07	08:06:42	0	inc	S	13.868	2	38.208	2	5.67	6	999999.00	5	0.009	6	1.36	2	0.19	2	0.03	2	1.53	2	59.993	2	7.613	2	999999.000	1	0.43	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-02-14	07:51:27	0	inc	S	13.726	2	38.213	2	5.65	6	999999.00	5	0.015	6	1.23	2	0.19	2	0.03	2	1.48	2	42.663	2	7.073	2	999999.000	1	0.62	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-02-21	07:53:16	0	inc	S	13.801	2	38.220	2	5.78	6	999999.00	5	0.008	6	0.70	2	0.13	2	0.03	2	1.31	2	67.213	2	13.183	2	999999.000	1	0.85	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-03-01	07:30:13	0	inc	S	13.658	2	38.039	2	5.68	6	999999.00	5	0.008	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	131.250	2	16.050	2	999999.000	1	0.34	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-03-07	07:48:34	0	inc	S	13.717	2	38.214	2	5.68	6	999999.00	5	0.008	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	44.480	2	5.990	2	999999.000	1	0.34	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-03-14	08:32:56	0	inc	S	14.114	2	38.199	2	5.94	6	999999.00	5	0.015	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	65.520	2	9.940	2	999999.000	1	0.49	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-03-21	08:00:22	0	inc	S	14.652	2	38.129	2	5.92	6	999999.00	5	0.263	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	51.840	2	7.790	2	999999.000	1	0.19	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-03-28	06:55:12	0	inc	S	14.388	2	38.045	2	5.94	6	999999.00	5	0.217	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	72.040	2	11.560	2	999999.000	1	0.36	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-04-04	08:14:05	0	inc	S	14.591	2	38.029	2	5.97	6	999999.00	5	0.135	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	48.320	2	7.970	2	999999.000	1	0.15	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-04-11	06:53:48	0	inc	S	16.196	2	37.943	2	5.89	6	999999.00	5	0.089	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	14.460	2	0.28	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-04-18	06:53:38	0	inc	S	17.179	2	37.900	2	5.78	6	999999.00	5	0.081	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	8.740	2	0.48	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
